word,count
24.1,4
24.8,3
240-pound,3
245,6
25%.,1
"25-28,",1
25-for-44,1
25.6,2
25.72.,1
25. jawun,1
252,1
"252,552",1
253.,1
259,1
25th.,1
26-0,1
26-15,1
"26-year-old,",1
265-pounder,1
266,1
"27,",42
"27,000-point",1
27-game,1
27-man,1
27.2,4
28),2
28-10,1
28-year,1
28.0,1
28.7,2
280,1
283rd,1
287,1
28th,13
29-18,1
29-53,1
29-9.,1
29-year-old,6
29.5,2
29.  alec,1
294,1
2:,1
2:04,1
2:11,1
2:18,3
2:25,2
2:32,1
2:39,1
2k,2
2k19',1
"2nd,",1
2 will,1
3),28
"3,289",1
"3-0,",1
3-17,3
3-and-d,1
3-point,210
3-pointers),9
3-pointers).,1
3-pointers. ,1
3.0,18
3.7,10
30,164
30-point,6
30-second,2
30.3,4
30?,1
31-of-53,1
"31-point,",1
31.,1
31.1,2
31.5).,1
31.8,1
32-year-old,12
32.6,2
32nd,5
33.4,1
33rd,5
"34,",6
34.2,4
34.9,2
343,4
347-299,1
35),1
35-24,1
35-year,2
35.0,4
35.7,3
35th,6
36-11,1
36-46,5
36.5,3
37,19
37-year-old,5
37.3,4
38.1,1
399,1
3:05,3
3:12,5
3:19,1
3:40,2
3fg%): tatum,2
3last,1
"3s),",1
"3s,",8
4-1,6
4-2.,1
4-8,1
4-foot-10,1
4-for-4,1
4.5,14
4.72,2
4. ,1
40-point,9
40-year-old,1
40.4,3
406,2
"41,",1
41.9,1
41st,2
42),1
42.7,1
42.9 percent,1
420,1
425/206,1
43-39pace:,2
43.5,3
44,24
44-point,2
44-win,1
44.3,1
45-for-48,1
45.,3
45.8,1
"458,157",1
46-point,1
462,1
"48,",1
48-point,1
48.2,1
49),2
490,4
4:06,1
"4:10,",1
4:13,2
4:27,1
4:34,3
4:55,1
4;,3
4s,1
4 |,1
5,133
5-for-10,1
5-of-8,1
5-star,1
5.10,1
5.3,11
"50,000",1
50-32,1
50-8,1
50-plus point,1
504,2
51,28
52.8,1
53-29pace:,1
53.6,1
54.4,1
55-year-old,1
55.2,1
55.9,1
56),2
56.0,1
575.,1
58,22
58.3,1
59.0. ,1
59.8,1
5:00,1
5:28,2
5:35,1
5?,1
5moreyearspic.twitter.com/xop96ehrpa,1
5x5,1
"6-1,",1
"6-10,",1
6-4,22
"6-8,",5
"6-foot-3,",2
6-foot-7,10
6-foot-7.,1
6-for-10,1
6-for-17,1
6-for-31,1
6.,28
6.1,7
6.8,18
60-percent,1
61-21pace:,1
62.2,1
62.6%,1
62.9,1
63),1
63.7,2
637,1
64-18,1
65,12
65-win,5
66.,1
665,1
66th nba,2
67.6,1
68.8%,1
6:15,1
6:29,2
6:36,3
6’10,1
6’7,2
"7,000",9
7-2,4
7-3.,1
7-9,1
7-feet,1
"7-foot-1,",1
7-foot-2,2
7-foot-9,1
7-for-12,1
7.6,14
70),1
70.4%,1
71-foot,1
72,9
72-12,1
756,1
"76,",1
76.6%,1
76ers',10
76ers.,21
76ers hav,1
77),1
"78,000",3
79,7
791,1
"791,332",1
7:02,2
7:09,2
7:23,1
7:30,19
7:37,1
7:43pm,1
7:44,1
7:51,3
7:58,1
7’-3.25,1
8).,1
8-7,1
8-for-14,1
8-of-11,2
8.4,9
800-space,1
82.8%,1
826,1
"83,",1
85 |,1
86,3
86.0%,1
866th,1
8:00am,2
8:10,1
8:17,2
8:24,2
8:31,2
8:38,1
8:52,2
8:59,2
"8 p.m.,  abc/r",1
"9,",51
9-for-16,1
9.2,1
9.9,4
90%,2
"90,",2
910,2
917,1
93,6
93-75,1
94-83,1
945,1
96-82.,1
96-92,1
96.4,1
97-86,1
"97.6,",1
98-87,1
98-94,2
98.0,1
98.7,3
98th,1
99.5,1
9:04,2
9:18,3
9:25,2
9:32,5
9:46,1
9:53,1
> complet,1
A),1
AZ,1
BI,1
Be,11
C,16
D.,1
DJ,7
GA,1
HS,1
II,16
Is,39
J,3
NO,1
Oh,3
Q,9
RJ,2
TD,10
We,378
X,3
XM,1
[15]:,1
[2]:,2
[9]:,2
[all,1
[antetokounmpo],1
[at,2
"[curry],",1
[expletive].,1
"[friday],",1
[harsh],1
[if] i,1
[iguodala],1
[kevin,3
[lebron],1
[oscar,1
"[paul's] there,",2
[run,1
[social,1
[that,1
"[tuesday],",1
a: i,1
a:  you,1
aah,1
abbrevi,2
abdul-,1
aberdeen.,1
abid,4
ability that,1
abl,284
about.,27
"abroad,",1
abund,1
academy',1
academy.,3
acb,5
accept,46
access ,1
accolad,6
accommod,14
accomplish.,2
achiev,39
achievement.,1
acknowledg,34
"acquisition,",3
acrobat,1
"act,",5
action).,1
"action,",10
activ,51
activism.,2
"actually,",11
adams-lik,1
"added,",5
added:,9
addict,1
addit,133
"additionally,",28
"additionally, th",1
addressed.,2
adel,3
adelman,2
"adjustments,",2
administr,12
"admiration,",1
admit.,1
advance-scout,1
advantag,79
advent,2
"adversity,",1
advertised.,1
"advertisers,",1
advertisers:,1
advis,11
advisori,1
"aeg,",1
aeg’,1
affection,2
"affiliate,",8
"afflalo,",1
"africa,",14
africa. ticket,1
african-american team,1
aftercar,1
aftermath.,1
"afternoon, cleveland",1
afterward,5
after b,1
after jimmi,1
"against, coach",1
against phoenix,1
age-group,1
age.,11
"agency),",10
agendas.,1
agent,261
"agent), jordan",1
"agent,",24
agent. ,3
agent:,2
agents...,2
agility.,1
"ago),",1
"ago,",67
ago. ,1
ago:,2
agonizingli,1
agony.,1
"agreements,",1
ahead,73
"ahead,",2
ahead:,1
ail,2
"ajinca,",1
al-farouk,1
"alas,",1
alcatraz,1
aldridge: ,1
aldridge:  i'm,1
aldridge:  it,2
aldridge:  th,1
alec,5
alert,6
alex,19
alexi,1
alison,1
aliz,1
alkin,5
all-big,5
all-but-insurmount,1
all-consum,1
all-defens,36
all-in,4
all-new,1
all-pac,4
all-patriot,1
"all-star, hasn't",1
all-stars.,5
all-tim,95
all-wnba,1
allen',1
allen-sam,1
allen.,5
alley-oop.,2
allud,1
"alone,",5
"along),",1
alphabetically):,1
already-over-the-tax-threshold,1
"alright,",2
alstork,1
"alumni,",1
amass,12
amazing!,1
ambassador,7
ambassador.,1
ambush,1
