word,count
each.,4
eagles?,1
"ear,",1
earlier.,3
eastern,44
"eastside,",1
edward,10
edwards',2
edwards.,1
"efficiency,",1
"effort,",3
eight,156
"eight,",1
elbow.,2
elfrid,5
email,3
employ,1
end-of-gam,1
end.,12
enforc,4
england,1
enhanc,1
ennis.,1
"enormous,",1
ensur,4
entic,1
entrench,2
"episode,",1
erik,11
especi,24
"euro-step,",1
everywher,3
ex-arizona,1
exact,3
exciting.,2
execute.,1
exhal,2
exhibition),1
exit,5
expens,1
expertis,1
expire.,1
expired.,2
exposur,1
eye,6
fabric.,1
"face,",2
face-tim,1
facebook.,1
factor,4
fade,5
fair,2
fake,4
"falling,",1
fallout,1
"families,",1
fanci,1
fare,1
farleigh,1
fast-pac,1
father.,1
favorit,8
fbi,8
feat,1
february.,7
feedback,2
"feel,",2
"feeling,",3
"fees,",1
feisti,2
felicio,1
fifth-lead,2
fight.,1
finalist,2
finalists.,1
financ,1
"fine,",2
finger,3
finger-rol,1
finney-smith,1
first-half,10
first-tim,2
firsthand,1
fits.,1
five,150
fla.,9
flight,2
flirt,3
florida,56
flu,1
flyknit,1
focus,15
foe,4
formal,2
fought,6
fouled.,3
fouling.,1
found,21
four.,30
"fournier,",1
"france,",1
franchise-record-ti,1
frazier,4
fred',1
fredett,5
"freshman,",5
"friday,",6
friday:,1
frontcourt,2
frontrunn,1
fsu,3
fuel.,1
fulfilling.,1
futures.,1
g-league.,1
g/f,3
gabe,5
gallinari',1
game),2
games.,92
gamewin,1
"gathering,",1
"gators,",1
gay',1
gere,4
gerrit,1
"gervin,",1
get.,3
giant,2
"giant,",1
gift.,1
glass.,3
glusac,1
"go!,",1
go-ahead,10
going.,2
golden,85
"gonzaga,",5
goodman,1
googl,3
government.,1
grab,39
"grandfather,",1
green-clad,1
greet,2
gregg,7
grin.,1
grinder,1
grizzlies',1
grizzlies.,2
grow,7
"growth,",1
gruesom,6
guaranteed.,2
"guards,",2
guin,1
gut,2
"guys,",7
habitu,1
"hachimura,",1
hagan,5
hakeem,2
hall.,1
handl,5
"hands,",1
happened.,3
"happiness,",1
happy.,2
"hard,",4
hard-press,1
harris.,1
hartford',1
hartford.,4
"has,",2
haul,1
hawks',2
hawks.,5
hayn,1
"hayward,",1
"heal,",2
heartfelt,1
heav,2
heavi,2
heavili,1
helper,1
henri,5
hernangomez,1
herro,5
"herro,",5
hide,1
hield',1
high-fli,2
"highest-scoring,",1
highs.,1
him.,25
"himself,",2
hire,23
hispan,1
hit.,2
hofstra,1
hold,30
hole.,2
"holiday,",2
holist,1
"home,",8
home:,1
"homer,",1
hone,1
hoop,9
hoover,1
"hours,",1
hous,31
http://bit.ly/2cvamu,4
http://bit.ly/2hzcslw,4
http://bit.ly/2uqcabd,4
https://apnews.com/tag/nba,2
https://bit.ly/2cy7uuo,4
https://bit.ly/2nqzy4v,4
https://twitter.com/ap_top25,1
humbl,3
"humility,",1
hundr,5
hung,6
hunter,8
"hurt,",2
ident,1
identity.,1
igna,4
ignit,4
ikaba,1
illinoi,2
imag,4
iman,1
immigr,8
in,17
inc',1
inc.,7
included.,1
inclus,3
increase.,1
indiana',2
indiana.,6
individu,10
"ingram,",1
ingredi,2
innings.,1
"instance,",1
"instinct,",1
interior,2
"into,",1
iowa.,9
ireland,4
irk,1
ish,3
issues.,1
it'll,6
it’,4
iwandu,1
"izzo,",1
jackrabbits.,2
jackson,28
"jackson,",2
january.,2
jaren,1
jay,4
"jeff,",1
