word,count
"<coach,brush>",4

"<coach,bryn>",5

"<coach,buchanan>",9

"<coach,buck>",186

"<coach,bucket>",5

"<coach,bucks'>",18

"<coach,bucks.>",23

"<coach,budenholz>",75

"<coach,bug.>",3

"<coach,bull>",82

"<coach,bullock>",2

"<coach,bulls'>",13

"<coach,bulls.>",12

"<coach,bump>",2

"<coach,burner.>",14

"<coach,buzz>",6

"<coach,byrn>",38

"<coach,caboclo>",2

"<coach,caldwell-pop>",14

"<coach,caliber,>",4

"<coach,called.>",8

"<coach,camera.>",2

"<coach,camera>",7

"<coach,canadian.>",1

"<coach,candidates,>",20

"<coach,candidates>",5

"<coach,candidli>",2

"<coach,capela'>",2

"<coach,capela>",14

"<coach,capit>",14

"<coach,capital.>",2

"<coach,captiv>",3

"<coach,cardin>",15

"<coach,carolina>",132

"<coach,carter,>",3

"<coach,caus>",38

"<coach,cause.>",3

"<coach,cavaliers,>",6

"<coach,cavaliers:>",28

"<coach,ceil>",14

"<coach,celebr>",54

"<coach,celebrate,>",1

"<coach,celebration.>",1

"<coach,celtics)>",2

"<coach,center.>",13

"<coach,challenges,>",2

"<coach,chamberlain'>",3

"<coach,chamberlain.>",1

"<coach,chance.>",10

"<coach,chance>",1

"<coach,chang>",95

"<coach,chapter.>",6

"<coach,charact>",7

"<coach,charisma,>",7

"<coach,chariti>",2

"<coach,charlott>",50

"<coach,check>",36

"<coach,chemistri>",4

"<coach,chicago'>",2

"<coach,chicago.>",14

"<coach,child>",14

"<coach,chriss>",2

"<coach,clank>",2

"<coach,clanker>",4

"<coach,clark'>",2

"<coach,clarkson>",18

"<coach,clean>",24

"<coach,cleveland,>",11

"<coach,clifford>",15

"<coach,climbed.>",1

"<coach,clubs.>",4

"<coach,coach;>",7

"<coach,coast>",33

"<coach,cofer,>",26

"<coach,cold>",7

"<coach,coliseum>",6

"<coach,collect>",19

"<coach,colleg>",230

"<coach,coloni>",3

"<coach,columbia,>",18

"<coach,coming,>",6

"<coach,commun>",19

"<coach,compani>",2

"<coach,comparison>",2

"<coach,competitiveness.>",3

"<coach,competitor.>",6

"<coach,composur>",4

"<coach,concern>",26

"<coach,condit>",6

"<coach,conference,>",19

"<coach,confident,>",5

"<coach,connolli>",3

"<coach,consid>",22

"<coach,consider.>",3

"<coach,consistency.>",1

"<coach,constantli>",5

"<coach,contenders.>",3

"<coach,context,>",2

"<coach,continu>",89

"<coach,contusion,>",1

"<coach,convers>",8

"<coach,conversations.>",7

"<coach,cool.>",14

"<coach,count?>",2

"<coach,counterpart>",7

"<coach,counti>",17

"<coach,countri>",33

"<coach,courtside.>",2

"<coach,crazi>",11

"<coach,creat>",41

"<coach,credit,>",2

"<coach,credit>",34

"<coach,cri>",4

"<coach,crime:>",14

"<coach,crisis.>",1

"<coach,crowd>",70

"<coach,crucifi>",1

"<coach,crutch>",1

"<coach,culver'>",4

"<coach,culver.>",3

"<coach,curri>",82

"<coach,cushion>",2

"<coach,d'antoni,>",2

"<coach,d'marcu>",2

"<coach,d-wade>",5

"<coach,dalla>",88

"<coach,damian>",16

"<coach,data,>",1

"<coach,david>",52

"<coach,davis,>",4

"<coach,dealer,>",14

"<coach,dealt>",13

"<coach,debut,>",3

"<coach,decemb>",8

"<coach,december,>",11

"<coach,decent>",2

"<coach,decid>",77

