Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2016,45,6.14470904,6.46339,6.83482,52533,3209,19
2016,46,5.984696837,6.5726,6.94373,53453,3192,7
2016,47,6.167939506,6.68169,7.05251,53162,3257,22
2016,48,6.500714364,6.78899,7.15951,54594,3515,34
2016,49,6.616740408,6.8929,7.26311,55148,3616,33
2016,50,6.831898861,6.99185,7.36175,56002,3780,46
2016,51,6.751039977,7.08435,7.45394,56732,3738,92
2016,52,7.397379155,7.16899,7.53828,57615,4105,157
2017,1,8.110369292,7.24451,7.61348,59763,4558,289
2017,2,7.991144638,7.30975,7.67842,60980,4505,368
2017,3,8.422579394,7.36373,7.73208,59293,4621,373
2017,4,8.257102004,7.4056,7.77364,58047,4426,367
2017,5,8.219811062,7.43471,7.80244,58432,4452,351
2017,6,8.242149124,7.45061,7.81802,59038,4447,419
2017,7,8.488517246,7.453,7.8201,58479,4419,545
2017,8,8.533488883,7.44181,7.80859,58288,4369,605
2017,9,8.372921615,7.41716,7.78362,57256,4260,534
2017,10,8.168484785,7.37935,7.7455,57477,4223,472
2017,11,7.898545609,7.32888,7.69472,56656,4099,376
2017,12,7.73073889,7.26645,7.63197,57045,4091,319
2017,13,7.575893578,7.1929,7.5581,55703,3887,333
2017,14,7.409354605,7.10925,7.47413,55160,3821,266
2017,15,7.260166603,7.01665,7.38121,54861,3775,208
2017,16,6.87959299,6.91639,7.28063,53070,3489,162
2017,17,6.657284924,6.80987,7.17379,53295,3458,90
2017,18,6.401807927,6.69857,7.06216,52657,3308,63
2017,19,6.282581514,6.58403,6.9473,51985,3216,50
2017,20,6.200457317,6.46786,6.8308,52480,3201,53
2017,21,6.111198305,6.35165,6.71427,50972,3091,24
2017,22,5.934914937,6.23702,6.59932,51256,3019,23
2017,23,6.114590221,6.12557,6.48754,51418,3127,17
2017,24,6.079099159,6.01881,6.38045,50797,3069,19
2017,25,5.852133998,5.91823,6.27954,51195,2981,15
2017,26,5.855740166,5.82518,6.18616,50617,2954,10
2017,27,5.575070154,5.74093,6.10159,50959,2823,18
2017,28,6.10529686,5.66661,6.02694,49973,3047,4
2017,29,5.513994454,5.60321,5.9632,50127,2754,10
2017,30,5.785827155,5.55155,5.91121,49362,2853,3
2017,31,5.388623795,5.51227,5.8716,50087,2695,4
2017,32,5.430260565,5.48586,5.84486,50237,2722,6
2017,33,5.380093654,5.4726,5.83126,50185,2689,11
2017,34,5.577882343,5.47257,5.8309,49517,2755,7
2017,35,5.35292729,5.48569,5.84368,50832,2714,7
2017,36,5.562856751,5.51165,5.86931,50981,2824,12
2017,37,5.85754633,5.55,5.90731,51694,3021,7
2017,38,5.760296701,5.60006,5.95704,51230,2935,16
2017,39,5.661920807,5.66102,6.01766,51343,2888,19
2017,40,5.829975053,5.73191,6.08821,52110,3022,16
2017,41,5.853270774,5.81159,6.16755,51578,3001,18
2017,42,6.096346787,5.89883,6.25445,52228,3156,28
2017,43,6.283778641,5.99226,6.34754,52548,3279,23
2017,44,6.054509212,6.09046,6.44539,53679,3214,36
2017,45,6.051672988,6.1919,6.54649,53258,3178,45
2017,46,6.258020122,6.29504,6.64929,53771,3315,50
2017,47,6.003325942,6.39831,6.75221,54120,3201,48
2017,48,6.528487947,6.50013,6.85369,54760,3492,83
2017,49,6.556344995,6.59895,6.95217,55595,3527,118
2017,50,6.836325606,6.69328,7.04615,57370,3757,165
2017,51,7.29686581,6.78167,7.1342,59505,3983,359
2017,52,8.327058438,6.86278,7.21496,61090,4417,670
2018,1,9.560180284,6.93538,7.28721,66118,5158,1163
2018,2,10.54916721,6.99835,7.34983,67484,5582,1537
2018,3,10.87131409,7.05072,7.40186,64638,5401,1626
2018,4,10.55516604,7.09167,7.44246,62756,5176,1448
2018,5,10.22540849,7.12056,7.471,60956,4874,1359
2018,6,9.694896389,7.13691,7.487,61094,4682,1241
2018,7,9.658311302,7.14044,7.49018,59762,4594,1178
2018,8,9.198068302,7.13103,7.48042,57773,4423,891
2018,9,8.437009194,7.10878,7.45782,56667,4042,739
2018,10,8.006166675,7.07394,7.42263,57081,4063,507
2018,11,7.632882843,7.02698,7.37531,56309,3855,443
2018,12,7.416044776,6.96851,7.31649,55744,3788,346
2018,13,7.397355095,6.89932,7.24695,54898,3778,283
2018,14,7.225689733,6.82036,7.16765,55275,3694,300
2018,15,6.895052447,6.73272,7.07965,55199,3593,213
2018,16,6.623338148,6.63759,6.98417,54006,3425,152
2018,17,6.536154677,6.53629,6.88252,53686,3390,119
2018,18,6.144158578,6.43022,6.77609,53677,3192,106
2018,19,5.914897704,6.32085,6.66637,52055,3026,53
2018,20,5.910160809,6.20967,6.55484,50557,2945,43
2018,21,5.841484776,6.09824,6.44305,50809,2942,26
2018,22,5.736981465,5.98807,6.33253,50985,2899,26
2018,23,5.603896354,5.88068,6.22479,51946,2897,14
2018,24,5.744954414,5.77755,6.12129,51332,2935,14
2018,25,5.620930415,5.68006,6.02345,50988,2859,7
2018,26,5.649828733,5.58954,5.93258,50798,2861,9
2018,27,5.372052926,5.50721,5.8499,51619,2763,10
2018,28,5.440672992,5.43416,5.77649,51115,2776,5
2018,29,5.358026157,5.37135,5.71332,50541,2700,8
2018,30,5.388446215,5.31958,5.6612,50200,2691,14
2018,31,5.263261996,5.2795,5.62076,50558,2657,4
2018,32,5.256329612,5.25158,5.59249,50872,2664,10
2018,33,5.204638744,5.23613,5.57668,50186,2607,5
2018,34,5.384477932,5.23325,5.57345,50367,2702,10
2018,35,5.202804405,5.24289,5.58274,50492,2621,6
2018,36,5.455269974,5.2648,5.60429,50190,2732,6
2018,37,5.40529939,5.29854,5.63768,50987,2747,9
2018,38,5.475218659,5.34354,5.68232,51450,2806,11
2018,39,5.530625098,5.40469,5.74347,50808,2796,14
2018,40,5.659654366,5.47557,5.81435,52194,2944,10
2018,41,5.536493167,5.55517,5.89395,51585,2844,12
2018,42,5.639090616,5.64235,5.98113,52739,2956,18
2018,43,5.723849059,5.73586,6.07464,53478,3037,24
2018,44,5.628220373,5.83435,6.17313,52983,2958,24
2018,45,5.649116138,5.9364,6.27518,52610,2943,29
2018,46,5.7631731,6.04055,6.37933,53651,3067,25
2018,47,5.814018431,6.1453,6.48408,53715,3092,31
2018,48,5.98004793,6.24915,6.58793,53829,3184,35
2018,49,6.068762098,6.3506,6.68938,54245,3238,54
2018,50,6.31172811,6.44819,6.78697,54169,3371,48
2018,51,6.238549089,6.54053,6.87931,54035,3286,85
2018,52,6.607102208,6.62628,6.96506,52716,3360,123
2019,1,6.941469345,6.70421,7.04299,51819,3417,180
2019,2,7.299051423,6.77321,7.11199,50075,3433,222
2019,3,7.383396362,6.83228,7.17106,49977,3485,205
2019,4,7.051797891,6.88059,7.21937,47222,3112,218
2019,5,7.151956731,6.91745,7.25623,44743,2964,236
2019,6,6.953679703,6.94232,7.2811,35492,2263,205
