Name,G
"-student-athletes,",1
-to,1
..,1
...those,1
".500,",2
/,2
"0-1),",6
0-11,4
"0-12),",2
0-14,2
0-2,1
0-2).,1
"0-3,",2
0-4.,1
0-5,6
"0-7),",1
0-8,1
"0-fer,",1
0-for-5,1
0-of-7,1
0.10,1
0.4,1
0.7,1
1%,1
"1,000-win",1
"1,000.",1
"1,005",1
"1,014",1
"1,182",1
"1,200",1
"1,333.",1
"1,500",4
"1,509",1
"1,953",1
"1-0),",6
1-1,9
1-1).,5
1-10,3
1-11),2
"1-11),",2
1-14),1
1-2),2
1-2-2,2
1-3-1,2
"1-3-1,",1
1-4,6
"1-6),",1
1-7,2
1-7).,1
1-8),4
1-888-806-4833,2000
1-a,1
"1-and-1,",2
1-for-10,1
1-for-14.,1
1-for-19,1
1-for-7,3
1-of-10,2
1-of-6,2
1-of-9,1
1-seed,3
1.,18
1.3,2
1.36,1
1.6,2
1.9,5
1/2,43
1/2-game,1
10%,1
"10),",3
10);,1
10-1,11
10-10,1
10-10),1
10-11.,1
10-2),1
"10-2),",2
"10-2,",1
10-3).,1
10-4,11
10-5),3
"10-5,",1
10-7,3
10-8),1
"10-8),",1
10-of-12,2
10-of-15,3
10-of-18,1
10-second,1
10-year,1
10.,93
10.0,1
10.3,3
10.6,1
10.9,2
100%,1
100-42,1
100-60.,1
100-84,1
100-point,1
100-yarder,1
100.,13
100th,2
101,1
101):,1
101-20,1
101-77,1
102-146,1
103-69,1
104,2
104-92,1
105-79,1
108),1
10:18,1
10:24,1
10:30,2
10:36,1
10:39,1
10:42,1
10:45,3
10:48,2
10:54,1
10th,21
"10th-graders,",1
10th-seed,8
11,683
11-0,21
11-1),1
"11-1,",2
11-3,8
11-4),2
"11-4),",1
11-4-1,1
11-6,11
11-7),4
11-minut,2
11-of-17,1
11-of-20,1
11-point,20
"11-point,",1
11-team,1
"11-year-olds,",1
11.2,3
11.5,7
11.8,1
11/10,1
110,1
112.,1
114): despit,1
116): the,1
116-game,1
117.2.,1
118-84,1
119,1
11:17,1
11:26,1
11:29,1
11:32,1
11:44,1
11:50,1
"11th,",1
11th-straight,1
12),14
"12,",24
"12,''",1
"12,783 and",1
"12-0),",1
12-2,13
12-5,6
12-6),6
12-8,1
12-all,1
12-foot,1
12-game,7
12-rank,1
12-year-old,1
12.1,2
12.4,1
12.7,2
12.7%.,1
121.0),1
122,2
124-42,1
125,2
125.5,1
127th,1
"129,",1
12:01,1
12:13,1
12:28,1
12:31,1
12:43,2
12:46,2
12:49,1
12:58,1
12th-rank,3
12th.,1
"13),",3
13-0.,3
13-1,7
13-10,1
13-2),1
"13-25,",1
13-3.,1
13-4,4
13-5),5
13-7,1
13-point,17
"13-seed,",1
13.,30
13.0,2
13.3,2
13.6,6
13.9,5
130-plu,1
130th,1
131,1
13:03,1
13:06,1
13:30,1
13:39,2
13:45,1
13:54,1
13:57,1
13th,13
13th-seed,7
14,521
14): the,1
14-0,14
14-2).,1
14-2.,1
14-3,5
14-4),2
"14-4),",2
14-6,4
"14-7,",1
14-9,2
"14-line,",1
14-of-15,1
14-of-48,1
14-of-54,1
14-seed,1
14.2,5
14.5,6
14.8,2
140,1
146,2
146-word,1
14:17,1
14:20,1
14:29,1
14:32,1
14:41,2
14:44,1
15%.,1
"15,",18
15-0),1
15-1.,1
15-11,1
15-14,1
15-17,1
15-2,7
15-5,3
15-8,6
15-game,2
15-minut,3
15-point,14
"15-seeds,",1
15-straight,1
15.1,4
15.4,1
15.7,3
155,1
156),1
15:07,1
15:19,1
15:25,2
15:28,1
15:31,1
15:34,2
15:58,1
15th-rank,3
"16,337",1
16-1,2
16-10,1
16-13,2
16-2),4
"16-2),",1
16-4,6
16-7,2
16-footer,1
16-of-28,1
16.,22
16.0,4
16.3,2
16.6,2
16.9,6
16:24,1
16:30,1
16:48,1
16:54,1
16th,4
16th-least,1
17,377
17): like,1
"17,000",1
17-0,4
17-1),1
17-15,1
17-3,8
17-6,5
17-9,1
17-point,8
17-to-20-year-old,1
17.2,3
17.5,5
17.8,4
171-110,1
178th,1
17:11,1
17:14,1
17th-rank,5
17u,1
18),1
"18,",16
"18,077",1
18-2,3
18-4.,1
18-5,3
18-8,2
"18-9,",1
18-all,1
18-foot,3
18-for-54,1
18-game,3
18-of-52,1
18-to-23,1
18.0.,1
18.07,1
18.7,2
18:13,1
18:25,1
18:52,1
18th-rannk,1
19-11.,1
19-13,3
19-16,2
19-17.,1
19-4,4
19-point,8
19-year,1
19.,13
19.0,3
19.3,7
19.6,1
190-pound,2
1933-34.,1
1936.,1
194,1
1948.,1
1949,1
1951.,1
"1953,",1
1954.,2
1958,1
"1959-76,",1
1961,1
"1962,",3
1963-64,1
1964,1
"1965,",1
1966-67,1
1966-67.,1
1967,1
1970,2
1972-73,1
1973,2
1975-76,1
1975.,1
1976,5
"1976-77,",1
"1977,",1
1978.,2
1979,2
"1979-89,",1
1981-82,2
1981-85.,1
1981.,2
1982,7
"1983,",1
1985,5
"1985-86,",1
"1986,",1
1986-2003).,1
"1986–87,",1
1987-88.,1
1987.,2
1988,1
"1989,",2
1990-91,1
1990.,5
"1990s,",1
1991,3
1993-94,1
1993-94.,1
1993.,2
1994,5
1996-97,3
1996-97.,1
1996.,3
1997,6
"1997-98,",1
"1998,",4
"1999-2000,",1
1999-2010,1
1999.,7
19th,3
1:,1
1:02.,1
1:03,2
1:06,3
1:09,2
1:12,3
1:15,2
1:18,7
1:21,2
1:24,2
1:27,3
1:30,4
1:32.,1
1:33,3
1:39,4
1:42,5
1:45,2
1:54,2
1:57,3
1?:,1
1s,1
2,234
"2,004",1
"2,061",1
2-,1
2-0,9
2-10),3
2-12,1
"2-16),",1
2-26.,1
2-3,6
2-4),2
"2-5),",2
2-5-1,1
2-6,14
2-6).,1
2-7),3
2-9,2
2-9).,2
2-and-1,1
2-for-14,1
2-for-8,1
2-of-11,2
2-of-14,1
2-of-5,1
2-of-8,1
2-point,5
2.2,3
2.5,4
2.7%,1
2.8,2
2.86,1
20,373
20-0,1
20-12,4
20-16.,1
20-18,1
"20-18,",1
"20-21,",1
20-3,1
20-6,3
20-9,3
20-foot,1
20-game,1
20-points-a-night,1
20.2,1
20.5,3
20.8,4
200,9
200-9,1
2000,1
"2001,",1
2001-02.,1
2002).,1
2002-03,2
2002.,7
2002:,1
2003,2
"2004,",3
2004-08.,1
2005-06,4
"2005-09,",1
2005.,8
2005:,1
2006,3
2006-2007,1
"2007,",2
2007-08.,3
2007-11.,1
"2007-2011,",1
2008.,11
2008:,1
2009,8
2010),1
"2010,",7
2010-11.,2
2010-14.,1
2010-2011.,1
2010-jan.,1
2011-12,4
"2011-12,",2
2011.,23
2011:,1
2012,18
2012. ,1
"2013,",14
2013-14.,6
2014).,1
2014-15,7
2014.,12
2014:,1
2015,41
2017.,2
2018,4
"2019,",2
2020-21,1
2020.,1
208-pound,1
21),1
"21,",15
21-11,2
21-14,1
21-17,2
21-2,2
21-20,1
"21-20,",1
21-8,1
21-of-54,1
21-win,1
21.1,1
21.4,4
21.7,2
212,1
214.,1
"215--65,",1
218,1
"21st,",1
22-19,2
22-22,2
22-4,3
22-7,2
22-9.,1
22.,20
22.0,1
22.3,2
22.6,2
22.9,1
"225,",1
227,1
23,192
23',1
23-0,1
23-12,1
23-15,2
23-18,1
23-21,1
23-3,3
23-9,1
23-game,1
23-rank,1
23.8,1
23. west,1
233,1
236,1
"237,",1
23rd-rank,3
24),3
"24,",10
24-11,1
24-14,2
24-18.,1
24-2,1
"24-23,",1
24-8,1
"24-9,",1
24-percent,1
24-point,4
24.1,1
24.4,1
24.7,1
"24.85,",1
244th,1
245,1
245-pound,2
247sports',2
"25),",2
25-10,1
25-13,1
25-14.,2
25-16,1
25-19,1
25-22,1
25-25,2
25-4,1
25.,17
25.0,1
25.3,2
25.6,1
25.9-percent,1
25. vcu,1
26,114
26-12,1
26-24,2
26-3,1
26-8.,1
26-9,2
26-game,1
26.8,2
260,1
"26th,",1
27),2
"27,",7
27-17,1
27-2,2
27-23,2
27-26,4
27-5,1
27-8,2
27.1,1
27.7,1
272nd,1
275-pound,1
27th.,1
28%,1
28-1,1
28-10,1
28-16,1
28-19,1
"28-2,",1
28-7,2
28-point,4
28.,12
28.3,1
28.6,4
28th,4
29,85
29-0,2
29-24,2
"29-27,",1
"29-29,''",1
29-3,1
29-6,1
29.2,5
29.5,1
297-91,1
2:02,1
2:05,2
2:10.,2
2:11,1
2:14,3
"2:15,",1
2:17,4
2:20,1
2:23,2
2:26,2
2:29,1
2:32,4
2:35,1
2:47,1
2:50,1
2:53,3
2K,3
2nd,1
3),4
3)—the,1
"3,",20
"3,''",1
"3,000",1
3-10).,3
3-11,1
3-13).,1
3-14,1
3-15),5
3-2,3
3-23,1
3-3),1
3-44,1
3-5,8
3-6),2
3-8,6
3-8).,5
3-9),4
3-line,1
3-of-10,2
3-of-13,2
"3-pointer,",27
3-ppointers.,1
3.1,4
3.4,6
3.48.,1
3.61—fourth-highest,1
3.7,4
3.7-to-1.,1
3.79,1
"30,",9
30-17,2
30-20,3
30-23,1
30-26,1
30-27.,1
30-29,3
30-5,1
30-all,1
30-plu,2
30-point,7
30-win,2
30.4,1
30.7,1
302nd,1
31-16,1
31-19,2
31-22,1
31-25,1
31-28,2
"31-5,",1
31-percent,1
31.,17
31.3,1
31.6,3
311,1
317,1
32,77
32).,1
32-12,1
32-18,1
32-21,3
32-24,1
32-27,2
"32-27,",1
32-3,1
32-30,2
32-31.,1
32-game,1
32.1.,1
32.2,1
32.5,1
32.8,1
32nd,1
"33,",2
33-17,1
33-23,3
33.1,1
332nd,1
34%,1
34-1,1
34-13,1
34-22,1
34-25,1
34-26.,1
34-28,3
34-29.,1
34-31,3
34.,2
34.0,2
34.3,1
34.6,1
34th,2
35,43
35):,1
35): the,1
35-0,2
35-12,2
35-15,1
35-16.,1
"35-18,",1
35-22.,2
35-24,3
35-27,1
35-28.,1
35-30,3
35-31.,2
35-33,3
35-9,1
35-footer,1
35-game,1
35.2,3
35.5,4
35.8,1
350,2
353,1
"36,",2
"36-0,",1
36-14,1
36-20,2
36-23,1
36-26,2
36-29,2
"36-32,",1
36-35,3
36-year,1
36.1,3
36.4,4
36.7,4
364-123,1
37-16,1
37-22,2
37-25,1
37-28,2
37-31,2
37-34,3
37-point,2
37.,2
37.2%,1
37.3,2
37.6,1
37.9,4
38,23
38):,1
"38-1,",1
38-12,1
38-18,1
38-21,1
38-24,2
38-27,1
38-30,3
38-33,1
38-36,2
38-37.,1
38-game,1
38-percent,1
38.5,5
38.8,2
380,1
"39,",2
39-26,2
39-27.,1
39-29,4
39-30.,1
39-35,4
39-36.,1
"39-38,",1
39-point,1
39-year,1
39.1,4
39.4,2
39.7,2
3:13,3
3:18.,1
3:19,1
3:22,2
3:25,2
3:28,2
3:31,1
3:34,2
3:40,1
3:43,2
3:46,1
3:49,2
3S,1
3s.,13
3s.'',2
"4,500",1
"4,668",1
4-0.,1
4-1,7
4-11),3
4-12).,1
4-13,2
4-14),4
"4-14),",2
4-2),5
4-4,4
4-4).,2
4-5),3
"4-6),",1
4-7,6
4-8),4
"4-9),",1
4-for-19,1
4-of-12,2
4-of-15,1
4-of-18,2
4-of-6,1
4-seed,3
4.,32
4.0,1
4.3,6
4.3-to-1,1
4.6,2
4.9,2
40%,1
40-16,1
40-19,1
40-22,1
"40-22,",1
40-26.,1
40-28,1
40-31,1
40-34,2
40-37,2
40.,4
40.6,1
400th,2
40th,1
41,15
41-21,1
41-27,1
41-30,4
41-31.,1
41-33,3
41-36,3
41-37.,1
41-39,4
41-9,1
41-game,2
41.2,5
41.5,3
41.8,3
41st,2
"42,",2
42-17,1
42-20,4
42-26,2
42-27.,1
42-29,2
42-30.,1
42-32,1
42-35,1
42-38,2
42-41,1
42.4,1
42.6%,1
42.7,2
42/24adjust,1
423-169,1
"43-19,",1
43-22,2
43-23.,1
43-25,2
43-26.,1
43-31,3
43-35.,1
43-37,1
43-40,1
43-point,1
43.3,1
43.5%,1
43.6,2
43.9,2
43rd,1
44,14
44):,1
44-24,1
44-27,1
44-30,2
44-33,2
"44-33,",1
44-36,4
44-37.,1
"44-39,",1
44-40.,1
"44-42,",1
44.5,2
44.8,1
441-82,1
"45,",5
45-26,1
45-29,1
"45-32,",1
45-35,2
45-36.,1
45-38,4
45-39.,1
45-42.,1
45-44,5
"45-44,",1
45.1,1
45.4,1
45.7,1
46-10,1
46-22,2
46-31,1
46-32.,1
"46-34,",1
46-35.,1
46-38.,1
46-43,1
46-44.,1
46-all.,1
"46-of-46,",1
46.0,1
46.3,2
46.9,2
47,11
47-18,1
47-24,1
47-33,1
47-36,3
47-42,1
47-45,2
47.2,2
47.4%,1
47.5,4
48): how,1
"48,",2
48-33.,1
48-41,1
48-44,4
"48-47,",1
48.1,2
48.4,6
48.7,1
49%,1
"49),",2
"49-31,",1
49-34,3
