word,count
"<coach,5-foot-11.>",6

"<coach,5-foot-9>",2

"<coach,5-of-16>",3

"<coach,5-on-5>",1

"<coach,5.3>",4

"<coach,50-point>",2

"<coach,504>",13

"<coach,51-44>",1

"<coach,52-24>",2

"<coach,52-26.>",3

"<coach,52.>",2

"<coach,53>",44

"<coach,55-48>",1

"<coach,55th>",2

"<coach,57-1.>",5

"<coach,57-55,>",2

"<coach,57-57>",6

"<coach,58-51>",3

"<coach,58.8>",7

"<coach,5:05>",4

"<coach,6)>",4

"<coach,6-11>",2

"<coach,6-4>",14

"<coach,6-foot-3>",35

"<coach,6-footer>",3

"<coach,6-of-12>",5

"<coach,6.1>",10

"<coach,6.8>",13

"<coach,60).>",2

"<coach,60-58,>",2

"<coach,60>",34

"<coach,61),>",2

"<coach,61-47>",6

"<coach,61-54>",5

"<coach,61st>",7

"<coach,62,>",2

"<coach,62-55>",7

"<coach,63-44.>",1

"<coach,63-56>",3

"<coach,63-58.>",2

"<coach,63-63>",2

"<coach,64-57>",6

"<coach,64.5.>",2

"<coach,65-51>",3

"<coach,65-60.>",2

"<coach,65-year-old>",4

"<coach,66-52>",15

"<coach,66-59>",8

"<coach,66-61.>",23

"<coach,67-46>",3

"<coach,67-60>",1

"<coach,67>",28

"<coach,68-52,>",2

"<coach,68-61>",2

"<coach,69,>",2

"<coach,69-34>",21

"<coach,69-62>",12

"<coach,69-64.>",2

"<coach,69-67,>",2

"<coach,69-69>",2

"<coach,6:13>",2

"<coach,6:20>",12

"<coach,6:55>",7

"<coach,7-9>",17

"<coach,7-foot-1>",5

"<coach,7-for-11>",5

"<coach,7-for-8>",4

"<coach,7.6>",2

"<coach,70-49>",4

"<coach,70-56>",4

"<coach,71-50>",5

"<coach,72-54.>",3

"<coach,72-57,>",2

"<coach,72-58>",2

"<coach,72-64,>",2

"<coach,73-58,>",4

